CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Modalidade,UF,RegistroANS
57149775000140,UNIMED SUL PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,03,2024,465235.76,Cooperativa MÃ©dica,SP,353027
54370630000187,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA,03,2024,93955576.97,Filantropia,SP,354562
00532888000103,UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,03,2024,102641.15,Cooperativa MÃ©dica,RS,353698
45359213000142,UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO,03,2024,2576269.61,Cooperativa MÃ©dica,SP,354031
71695746000105,UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS,03,2024,852500.8,Cooperativa MÃ©dica,SP,354279
96182068000108,UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO,03,2024,31851.13,Cooperativa MÃ©dica,SP,354619
87689527000153,UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,03,2024,162880.43,Cooperativa MÃ©dica,RS,352179
59901454000186,SANTA CASA DE MISERICORDIA HOSPITAL SÃO VICENTE,03,2024,5396.84,Filantropia,SP,353264
45467404000128,UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO,03,2024,13010589.04,Cooperativa MÃ©dica,SP,351776
62231527000184,CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO,03,2024,1440215.77,AutogestÃ£o,SP,352331
72234164000194,UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,03,2024,336743.3,Cooperativa MÃ©dica,RS,352519
45232246000127,UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO,03,2024,2078181.9,Cooperativa MÃ©dica,SP,351202
02852017000100,SISTEMAS E PLANOS DE SAÚDE LTDA.,03,2024,13572783.3,Medicina de Grupo,SP,352586
16415598000110,UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA,03,2024,1780406.64,Cooperativa MÃ©dica,BA,350371
07241136000132,UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO,03,2024,476568.27,Cooperativa MÃ©dica,PI,353353
20909271000171,UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO,03,2024,1417566.91,Cooperativa MÃ©dica,MG,354325
71186886000158,UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.,03,2024,32508.6,Cooperativa MÃ©dica,MG,327638
50739135000141,SOBAM CENTRO MÉDICO HOSPITALAR S.A.,03,2024,152851.47,Medicina de Grupo,SP,326500
55189930000127,IRMANDADE DE MISERICORDIA DE PORTO FERREIRA,03,2024,13105.16,Filantropia,SP,329355
34269803000168,REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,03,2024,342079.26,AutogestÃ£o,RJ,331317
59847780000152,AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,03,2024,2272042.58,Medicina de Grupo,SP,327417
05455431000166,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.,03,2024,8220.53,Medicina de Grupo,CE,327328
30036685000197,CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,03,2024,2530146.07,AutogestÃ£o,RJ,324477
02668512000156,H.B. SAÚDE S/A.,03,2024,1790677.8,Medicina de Grupo,SP,350249
02030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),03,2024,30838972.23,AutogestÃ£o,SP,304131
22720791000167,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,03,2024,34480578.46,Cooperativa MÃ©dica,MG,304395
78738101000151,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,03,2024,44728792.03,Cooperativa odontolÃ³gica,PR,304484
75055772000120,UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,03,2024,3104734.08,Cooperativa MÃ©dica,PR,304701
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,03,2024,1132565.85,Cooperativa MÃ©dica,SP,304883
72120124000111,UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,03,2024,2010880.51,Cooperativa odontolÃ³gica,RS,305421
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,03,2024,7503.91,Cooperativa MÃ©dica,SP,300713
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,03,2024,76850.0,Cooperativa MÃ©dica,MG,301060
50480953000172,UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,03,2024,65308205.24,Cooperativa MÃ©dica,SP,301574
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,03,2024,35552.52,Cooperativa MÃ©dica,SC,301744
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,03,2024,1793524745.77,Medicina de Grupo,SP,302147
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,03,2024,16177812.02,Cooperativa MÃ©dica,SP,303267
64924095000112,SERMED-SAÚDE LTDA.,03,2024,1094971.31,Medicina de Grupo,SP,303739
04201372000137,UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,03,2024,3700837.76,Cooperativa MÃ©dica,PA,303976
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,03,2024,134204794.05,Cooperativa MÃ©dica,RJ,302953
92240605000178,ON MED ASSISTÊNCIA MÉDICA LTDA,03,2024,60703.54,Medicina de Grupo,RS,304212
85377174000120,UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,03,2024,15219823.76,Cooperativa MÃ©dica,SC,303356
16921561000163,UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,03,2024,973842.81,Cooperativa MÃ©dica,MG,304051
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,03,2024,1991799.98,Odontologia de Grupo,PE,304441
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,03,2024,84344.79,Medicina de Grupo,MG,304531
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,03,2024,253422.29,Cooperativa MÃ©dica,TO,301124
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,03,2024,30899.3,Cooperativa MÃ©dica,GO,302228
02687852000124,UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,03,2024,468412.61,Cooperativa MÃ©dica,SP,303844
33546979000157,UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,03,2024,1348897.1,Cooperativa MÃ©dica,GO,305472
