CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
386596,PENDENTE_ENRIQUECIMENTO,1T,2025,877677.84
393533,PENDENTE_ENRIQUECIMENTO,1T,2025,2262179.09
397245,PENDENTE_ENRIQUECIMENTO,1T,2025,845644.61
402001,PENDENTE_ENRIQUECIMENTO,1T,2025,18463.05
406481,PENDENTE_ENRIQUECIMENTO,1T,2025,62463404.81
406813,PENDENTE_ENRIQUECIMENTO,1T,2025,21402.27
406937,PENDENTE_ENRIQUECIMENTO,1T,2025,147710.73
407534,PENDENTE_ENRIQUECIMENTO,1T,2025,566638.15
408522,PENDENTE_ENRIQUECIMENTO,1T,2025,126247.84
386901,PENDENTE_ENRIQUECIMENTO,1T,2025,33349.79
389854,PENDENTE_ENRIQUECIMENTO,1T,2025,106070.1
402206,PENDENTE_ENRIQUECIMENTO,1T,2025,2336.45
407569,PENDENTE_ENRIQUECIMENTO,1T,2025,7464.56
409413,PENDENTE_ENRIQUECIMENTO,1T,2025,1047.17
394734,PENDENTE_ENRIQUECIMENTO,1T,2025,18467837.74
401081,PENDENTE_ENRIQUECIMENTO,1T,2025,107814.1
406554,PENDENTE_ENRIQUECIMENTO,1T,2025,893844.35
410292,PENDENTE_ENRIQUECIMENTO,1T,2025,19636.27
390259,PENDENTE_ENRIQUECIMENTO,1T,2025,95396.18
402966,PENDENTE_ENRIQUECIMENTO,1T,2025,12284077.28
406945,PENDENTE_ENRIQUECIMENTO,1T,2025,699592.48
409634,PENDENTE_ENRIQUECIMENTO,1T,2025,1027.94
386588,PENDENTE_ENRIQUECIMENTO,1T,2025,2824427.21
410608,PENDENTE_ENRIQUECIMENTO,1T,2025,416348.68
387185,PENDENTE_ENRIQUECIMENTO,1T,2025,5640.83
392804,PENDENTE_ENRIQUECIMENTO,1T,2025,523251.29
408026,PENDENTE_ENRIQUECIMENTO,1T,2025,140465.36
401480,PENDENTE_ENRIQUECIMENTO,1T,2025,47290.28
403962,PENDENTE_ENRIQUECIMENTO,1T,2025,1495.0
406635,PENDENTE_ENRIQUECIMENTO,1T,2025,278661.28
409243,PENDENTE_ENRIQUECIMENTO,1T,2025,1250907.41
388092,PENDENTE_ENRIQUECIMENTO,1T,2025,522923.33
409791,PENDENTE_ENRIQUECIMENTO,1T,2025,101121.0
385620,PENDENTE_ENRIQUECIMENTO,1T,2025,229205.29
407011,PENDENTE_ENRIQUECIMENTO,1T,2025,439.62
408034,PENDENTE_ENRIQUECIMENTO,1T,2025,227454.23
410624,PENDENTE_ENRIQUECIMENTO,1T,2025,38073.41
406805,PENDENTE_ENRIQUECIMENTO,1T,2025,6442.57
395480,PENDENTE_ENRIQUECIMENTO,1T,2025,12735992.61
404241,PENDENTE_ENRIQUECIMENTO,1T,2025,17981.5
409286,PENDENTE_ENRIQUECIMENTO,1T,2025,78676.84
410110,PENDENTE_ENRIQUECIMENTO,1T,2025,670434.78
408093,PENDENTE_ENRIQUECIMENTO,1T,2025,31084.35
389358,PENDENTE_ENRIQUECIMENTO,1T,2025,265047.45
407224,PENDENTE_ENRIQUECIMENTO,1T,2025,1879195.03
414905,PENDENTE_ENRIQUECIMENTO,1T,2025,3095985.19
415693,PENDENTE_ENRIQUECIMENTO,1T,2025,79832.16
413534,PENDENTE_ENRIQUECIMENTO,1T,2025,763567.74
414204,PENDENTE_ENRIQUECIMENTO,1T,2025,5920674.93
415081,PENDENTE_ENRIQUECIMENTO,1T,2025,61725.43
414212,PENDENTE_ENRIQUECIMENTO,1T,2025,587745.54
414492,PENDENTE_ENRIQUECIMENTO,1T,2025,630078.68
414654,PENDENTE_ENRIQUECIMENTO,1T,2025,35978.64
411582,PENDENTE_ENRIQUECIMENTO,1T,2025,54443.32
412015,PENDENTE_ENRIQUECIMENTO,1T,2025,295706.94
412759,PENDENTE_ENRIQUECIMENTO,1T,2025,5383803.63
413330,PENDENTE_ENRIQUECIMENTO,1T,2025,2632.0
415774,PENDENTE_ENRIQUECIMENTO,1T,2025,950523.05
412058,PENDENTE_ENRIQUECIMENTO,1T,2025,88591.09
353663,PENDENTE_ENRIQUECIMENTO,1T,2025,113136380.57
353876,PENDENTE_ENRIQUECIMENTO,1T,2025,13598455.18
354066,PENDENTE_ENRIQUECIMENTO,1T,2025,121312863.79
354295,PENDENTE_ENRIQUECIMENTO,1T,2025,297693.74
354511,PENDENTE_ENRIQUECIMENTO,1T,2025,41510122.54
350346,PENDENTE_ENRIQUECIMENTO,1T,2025,551216.23
350494,PENDENTE_ENRIQUECIMENTO,1T,2025,132271.02
350648,PENDENTE_ENRIQUECIMENTO,1T,2025,310572.3
350699,PENDENTE_ENRIQUECIMENTO,1T,2025,2323594.95
351270,PENDENTE_ENRIQUECIMENTO,1T,2025,35181.78
351407,PENDENTE_ENRIQUECIMENTO,1T,2025,2711805.11
